442	500	1
5199	4171	-1
404	713	1
646	1646	-1
2724	170	1
36	679	1
5448	3326	1
16	1017	1
987	2376	1
1809	1966	1
1161	1241	1
1938	0	1
4171	4982	-1
4514	4364	1
529	165	1
3794	4679	-1
3597	2027	1
5938	34	1
759	1083	1
5947	50	1
2347	2027	1
2641	1952	1
4162	1688	1
2027	1628	1
1051	1809	1
4374	4196	1
1809	2620	-1
2063	3592	1
1099	903	1
4693	4135	1
303	2050	1
4799	2295	1
360	1276	-1
5540	3039	1
1692	1966	1
3599	1333	1
899	4983	1
59	311	1
4023	3160	1
1561	1569	1
4283	2834	1
4723	5711	1
12	3396	1
1133	1132	1
4118	2124	1
2545	2251	1
2484	5002	1
292	6	1
2153	1751	1
201	255	1
1564	1638	1
3734	3823	1
12	1532	1
1538	1385	1
424	471	-1
95	92	1
2027	2099	1
3083	1952	1
2044	4672	-1
1584	3004	1
3648	2471	1
881	1385	1
4170	4106	1
2439	1809	1
173	40	1
2230	2292	1
281	3	1
1282	536	1
3344	3902	1
5631	2624	1
59	207	1
3648	3819	1
3721	5644	1
3544	4113	1
1554	1604	1
4038	4025	1
1367	1200	1
1615	1316	1
134	142	1
265	2033	1
4693	3228	1
1287	774	1
1200	2719	-1
1301	491	1
34	4092	1
1809	1582	1
5882	3877	1
32	2044	1
4303	3428	1
1315	56	1
2055	5362	1
1809	1628	1
4858	34	1
629	850	1
2027	2811	1
4106	4410	1
2140	2244	1
5524	5805	1
166	222	1
467	515	1
0	214	1
3717	34	1
1385	1501	1
5592	114	1
2124	2440	1
3904	3853	1
3428	2941	1
3965	1362	1
3698	2599	1
2724	3147	1
3655	3629	1
1568	1567	1
3829	4362	1
3739	1628	1
1966	3875	1
3721	4898	-1
3450	5479	-1
5064	1734	1
2027	2830	1
492	170	1
3827	4531	1
3975	1333	1
1401	936	1
2044	3721	-1
904	2350	1
177	134	1
1952	2817	1
2275	2124	1
1565	1590	1
491	467	1
538	3668	-1
112	1291	1
103	362	1
1266	3450	1
1877	1382	-1
1347	962	1
3794	4457	1
2634	2788	1
4171	4300	1
904	728	1
2441	2387	1
4384	5047	1
4466	4284	1
2600	2601	1
4364	5653	-1
1385	1200	1
3915	4403	-1
2624	3167	1
1818	2317	1
142	6	1
1017	1564	1
5666	5315	1
4171	3318	1
279	5253	1
34	2120	1
2847	2834	1
2876	287	-1
2403	4118	1
5277	5268	1
4995	4561	1
5475	5480	1
12	2497	-1
1395	1538	1
922	591	1
4514	50	1
4197	3915	1
904	1755	-1
34	1089	1
2387	5068	-1
2317	2330	1
1578	1589	1
2783	2798	1
3721	1669	1
34	3447	1
4003	4558	1
5654	5524	1
2876	442	-1
3987	1351	1
4110	2351	1
256	350	1
4790	1809	1
1884	591	1
1713	534	1
0	260	1
3851	151	-1
4610	4924	1
1664	1565	1
1952	203	-1
5198	5192	-1
1809	2631	-1
2821	5524	1
2820	1017	1
2463	4352	1
2847	134	-1
245	2298	1
5138	3648	1
4213	56	1
2660	2641	1
1542	2139	1
4097	4171	1
1385	1584	1
551	463	1
4920	4832	1
22	1216	1
2377	4132	1
519	349	1
4561	352	1
34	1807	1
866	907	1
3577	2941	1
2397	3334	1
4449	2403	1
2066	2601	-1
978	977	1
1584	2560	1
549	4290	1
34	4209	1
2256	1849	1
3198	34	1
2094	2095	-1
1669	4334	1
4985	4990	1
5	1809	1
3396	1362	1
282	170	1
1685	1565	1
1549	774	1
4257	2599	1
208	2305	1
4319	2429	1
1809	4664	1
2265	417	-1
1511	3765	1
3128	4716	1
4660	480	-1
1333	2261	1
1831	2122	1
4639	34	1
5226	95	1
2776	1611	1
4921	4920	1
4545	4303	1
625	539	1
5468	4290	1
2724	3236	1
1623	1619	1
2377	3641	1
6	0	1
3853	4235	1
3017	2860	1
2634	2861	1
831	850	1
521	4085	1
2933	3014	-1
3261	544	1
279	4552	1
3934	3879	1
2732	1814	1
3759	1317	-1
1674	1996	1
1809	2123	1
635	634	1
1814	4675	-1
5653	158	1
1315	1385	1
631	581	1
3128	1216	1
56	1315	1
2896	3656	1
3836	4118	1
570	706	1
5849	5758	1
4458	2941	1
1017	56	1
2414	699	1
3774	3734	1
1628	2727	1
861	731	1
1655	1718	1
876	861	1
143	646	1
3827	5075	1
4558	5041	1
4451	4290	1
34	2066	1
2990	1952	1
4054	3352	1
34	2762	1
2177	214	1
303	614	1
3896	2641	1
3237	3222	1
2484	2645	1
717	385	1
69	1614	1
269	3758	-1
1761	1316	1
3987	134	1
34	5599	1
2324	2327	1
1952	3988	-1
5634	5611	1
4138	3975	1
2641	2779	1
4598	2641	1
1318	936	1
40	167	1
4457	4736	-1
1751	2641	1
3231	3196	1
1564	3648	1
3193	4498	1
3758	3791	-1
3803	480	1
774	831	1
1017	4208	1
2027	2641	1
4399	4542	-1
201	492	1
2124	2641	1
545	250	1
2029	2197	1
1441	774	1
177	1692	1
5002	4994	1
2069	2598	1
5471	5516	1
4591	546	1
4569	4083	1
1655	904	1
431	409	-1
2941	2186	1
4458	214	1
1611	1770	1
3896	5254	1
5523	4648	1
3207	2387	1
801	415	1
2634	2909	1
1564	1385	1
1316	2310	1
6	151	1
1713	1770	-1
1345	1161	1
1809	2687	-1
2657	3755	-1
4265	4171	1
2387	5888	1
904	2446	1
2193	358	1
34	1614	1
769	819	1
1161	1403	1
4634	4552	1
1692	1988	1
1742	2012	1
1952	1692	1
3352	4160	1
34	4359	1
534	794	1
111	0	1
2124	4686	-1
5002	2484	1
1368	1382	1
3896	3836	1
