8	202	1
61	204	1
82	165	1
3377	6	1
1769	160	1
76	663	1
1119	27	1
688	800	1
1807	45	1
129	405	1
122	28	1
0	2118	1
33	2413	1
350	33	1
7602	680	1
327	108	1
5	1056	1
128	442	1
635	454	1
123	584	1
309	35	1
384	1113	1
1770	19	1
2096	88	1
1020	77	1
97	86	1
1863	3264	1
39	1793	1
502	199	1
228	68	-1
420	528	1
1148	145	1
2590	539	1
172	1	1
802	43	1
32	166	1
238	2534	1
68	96	1
1357	2	1
743	0	1
5341	450	1
7589	30	1
341	662	1
45	3132	1
0	2843	1
1793	135	1
269	7454	-1
25	99	1
613	7570	-1
595	184	-1
6	7482	-1
254	858	1
95	1	1
1366	690	1
37	2398	1
176	227	1
292	774	1
7401	339	1
1326	212	1
246	458	1
3034	45	1
0	1821	1
7432	205	1
33	117	1
96	24	1
5341	535	-1
864	197	1
202	52	1
367	53	1
94	314	1
28	683	1
36	7399	1
27	75	1
262	405	1
18	94	1
620	6	1
3205	126	1
5	58	1
2148	0	1
284	959	1
683	87	1
590	167	1
141	518	1
176	747	1
128	1078	1
989	108	1
5	202	1
7	4	1
55	2	1
1777	7415	-1
2112	0	1
91	82	1
53	468	1
167	5	1
418	166	1
428	6	1
241	1	1
1198	416	1
86	84	1
15	606	1
210	1138	1
16	343	1
823	7414	-1
88	2627	1
15	533	1
418	1213	1
162	164	1
887	212	1
2445	1	1
165	1153	1
2798	303	1
435	269	1
55	7594	1
797	486	1
1064	127	1
24	32	1
6	141	-1
296	90	1
448	1	1
7	7360	-1
307	204	1
1839	124	1
0	635	1
216	910	1
315	1295	1
2497	0	1
192	7576	1
38	254	1
1147	0	1
187	7549	-1
18	96	1
403	423	1
88	159	1
125	85	1
1868	1867	1
1	256	1
242	1176	1
130	139	1
7594	111	1
189	7399	-1
396	11	1
7374	500	1
250	1712	1
118	292	1
18	1881	1
10	481	1
1962	1450	1
2860	68	1
1	776	1
226	1882	1
441	2499	1
321	214	1
51	49	1
132	19	1
72	459	1
160	7599	1
7	747	1
77	112	1
3	1002	1
304	32	1
66	1	1
432	750	1
10	247	1
604	498	1
7579	38	1
448	15	1
2292	497	1
1	305	1
1	44	1
506	1984	1
2511	354	1
155	69	1
23	84	1
6	84	1
124	237	1
1732	56	1
7	868	1
2539	1621	1
799	120	1
111	523	1
42	172	-1
0	95	1
1	92	1
1	82	1
3	235	1
368	109	1
643	7340	1
184	20	1
224	20	1
492	524	1
247	979	1
1634	1104	1
121	24	1
18	87	1
10	346	1
738	1782	1
22	844	1
1332	175	1
462	665	1
683	4	1
516	7602	-1
278	97	1
10	3344	1
161	176	1
342	1990	1
882	2	1
1579	821	1
162	415	1
1132	77	1
884	23	1
194	863	1
1135	96	1
7532	38	1
197	184	1
168	667	1
2079	86	1
893	308	1
7	7577	1
289	11	1
105	28	1
198	72	1
5414	40	1
771	999	1
6	1781	1
58	824	1
189	391	1
401	234	1
403	180	1
983	2425	1
45	2266	1
2335	81	-1
23	483	1
7601	7597	1
84	249	1
216	2524	1
176	7535	-1
92	890	1
84	187	1
205	283	-1
53	83	1
244	2379	1
140	81	1
3206	643	1
3	582	1
96	283	1
41	50	1
569	3	1
2457	989	1
3	269	1
2907	9	1
323	1099	1
7511	638	1
69	21	1
678	862	1
57	81	1
348	54	1
11	975	1
7561	6	1
230	25	1
66	259	1
747	3066	1
8	442	1
7371	17	1
286	936	1
2486	7588	-1
335	1576	1
